nome,ano,escola,nota_semestre_1,nota_semestre_2,faltas,nota_exame,monitoria
Gabriel Gomes,2,Francisto Chagas,8.75,6.93,20,0,True
Arthur Alves,1,Gabriel Gomes,2.86,1.01,29,1.56,False
Samuel Oliveira,3,Gabriel Gomes,2.12,4.3,8,4.37,False
Helena Gomes,2,Pedro I,6.65,7.1,6,1.46,False
Samuel Gomes,3,Antonio Prado,1.77,0.17,20,1.02,True
Sophia Gomes,3,Gabriel Gomes,4.62,2.01,13,7.83,False
Miguel Ribeiro,3,Pedro I,6.75,8.94,30,0,False
Alice Alves,1,Pedro II,4.18,5.18,30,3.27,True
Samuel Oliveira,2,Gabriel Gomes,4.08,9.42,13,7.43,False
Heitor Soares,1,Carlos Santos,1.3,0.04,10,7.76,True
Heloisa Ribeiro,2,Gabriel Gomes,3.55,6.06,11,0.95,True
Gabriel Rodrigues,1,Gabriel Gomes,4.13,5.64,28,5.4,False
Miguel Souza,2,Carlos Santos,7.47,1.95,10,3.01,False
Valentina Gomes,3,Pedro II,4.08,2.1,16,4.67,True
Samuel Martins,2,Pedro I,0.0,5.01,16,2.14,False
Theo Soares,1,Carlos Santos,6.85,7.39,30,0,False
Bernardo Rodrigues,1,Gabriel Gomes,0.89,8.51,22,1.85,True
Valentina Alves,3,Antonio Prado,0.82,8.73,12,0.86,True
Helena Silva,1,Francisto Chagas,6.45,0.74,24,8.78,True
Heloisa Souza,3,Pedro I,9.15,1.62,21,6.55,False
Sophia Souza,3,Francisto Chagas,3.65,9.78,3,0.33,False
Gabriel Santos,1,Gabriel Gomes,1.2,2.42,29,7.17,True
Gael Gomes,2,Carlos Santos,1.69,0.92,2,1.36,True
Laura Alves,3,Pedro I,6.53,5.32,17,5.08,False
Heitor Rodrigues,3,Pedro I,2.31,8.97,5,5.98,True
Alice Souza,3,Francisto Chagas,1.16,9.76,1,2.02,False
Miguel Silva,3,Pedro I,4.56,6.86,19,4.7,True
Heloisa Alves,2,Gabriel Gomes,7.39,2.23,23,5.23,False
Theo Ferreira,1,Carlos Santos,7.48,7.87,13,0,False
Gabriel Rodrigues,2,Pedro I,1.2,9.04,22,8.81,True
Davi Rodrigues,2,Pedro II,6.6,5.03,25,7.61,False
Sophia Maia,2,Pedro I,7.18,4.07,3,8.4,False
Heitor Pereira,3,Carlos Santos,2.78,6.15,2,3.82,True
Helena Santos,1,Gabriel Gomes,0.52,6.79,16,4.46,True
Gabriel Maia,2,Pedro II,8.97,2.63,25,0.04,True
Davi Ferreira,2,Carlos Santos,5.96,5.31,0,1.55,False
Maria Gomes,3,Francisto Chagas,2.57,5.67,22,9.33,True
Maria Gomes,2,Francisto Chagas,3.8,0.45,16,9.37,False
Laura Maia,2,Francisto Chagas,1.07,3.23,4,3.71,False
Davi Oliveira,3,Antonio Prado,5.54,4.03,19,4.24,False
Valentina Gomes,2,Francisto Chagas,5.3,0.68,0,6.04,False
Heitor Ferreira,1,Francisto Chagas,3.7,7.85,22,0.65,False
Heitor Ribeiro,2,Antonio Prado,2.87,0.31,4,1.86,True
Maria Ribeiro,2,Gabriel Gomes,0.8,3.96,5,3.09,False
Theo Rodrigues,1,Antonio Prado,0.96,0.97,20,4.52,True
Miguel Santos,2,Francisto Chagas,4.39,2.85,21,3.43,False
Sophia Ribeiro,2,Pedro I,5.66,0.98,8,1.12,False
Gabriel Souza,2,Francisto Chagas,0.74,8.96,22,2.24,False
Gael Alves,3,Antonio Prado,6.11,8.71,14,0,True
Miguel Santos,3,Carlos Santos,6.35,6.69,14,4.28,True
Laura Gomes,1,Antonio Prado,3.41,3.6,1,5.71,True
Valentina Souza,1,Antonio Prado,1.31,0.85,2,2.88,True
Alice Silva,2,Antonio Prado,2.48,7.17,1,2.99,True
Bernardo Ferreira,2,Antonio Prado,2.67,9.14,15,3.12,False
Theo Pereira,3,Francisto Chagas,7.47,9.94,0,0,False
Valentina Maia,2,Carlos Santos,3.13,7.65,10,3.06,False
Davi Oliveira,1,Carlos Santos,9.83,7.94,15,0,True
Davi Santos,3,Gabriel Gomes,9.52,6.34,16,0,True
Heloisa Ferreira,1,Francisto Chagas,1.17,3.29,27,0.39,False
Laura Alves,1,Pedro II,2.74,0.64,16,6.87,False
Valentina Rodrigues,2,Carlos Santos,2.55,3.26,12,9.77,True
Maria Rodrigues,2,Francisto Chagas,6.84,7.67,27,0,False
Miguel Santos,1,Carlos Santos,3.82,2.03,28,4.64,True
Samuel Alves,1,Pedro II,2.01,4.26,12,2.64,False
Heitor Rodrigues,2,Pedro I,8.38,3.93,3,4.48,True
Arthur Alves,3,Antonio Prado,7.9,6.03,0,1.02,True
Heitor Alves,3,Francisto Chagas,3.71,5.31,9,0.84,True
Heloisa Santos,3,Carlos Santos,9.3,0.51,26,0.19,False
Sophia Gomes,3,Francisto Chagas,0.21,8.6,21,3.09,True
Heloisa Alves,1,Pedro II,2.96,1.85,25,5.9,False
Valentina Santos,2,Francisto Chagas,6.99,7.69,21,0,False
Gabriel Ribeiro,3,Gabriel Gomes,7.01,1.12,24,4.03,False
Gabriel Rodrigues,1,Gabriel Gomes,3.52,5.86,10,7.65,False
Helena Pereira,2,Pedro I,5.29,4.98,2,2.89,False
Laura Santos,2,Antonio Prado,6.42,5.0,25,0.29,True
Gabriel Martins,2,Gabriel Gomes,6.05,1.95,17,4.19,True
Bernardo Silva,3,Antonio Prado,2.46,0.44,20,8.71,False
Helena Santos,2,Pedro I,9.1,10.0,8,0,False
Heloisa Souza,3,Pedro II,3.31,1.7,9,8.66,True
Laura Ferreira,1,Pedro I,5.32,4.66,15,5.61,True
Helena Silva,3,Antonio Prado,8.27,1.97,10,1.94,True
Miguel Rodrigues,1,Pedro II,5.64,9.62,2,0,True
Bernardo Gomes,2,Gabriel Gomes,3.62,7.79,5,1.35,True
Valentina Pereira,1,Carlos Santos,5.92,6.09,20,3.88,True
Heloisa Pereira,3,Francisto Chagas,0.77,3.8,1,9.96,True
Gabriel Soares,3,Francisto Chagas,3.94,6.73,30,4.8,True
Miguel Rodrigues,3,Carlos Santos,0.15,5.94,25,1.12,True
Theo Ferreira,1,Francisto Chagas,5.47,1.19,24,7.6,False
Theo Martins,3,Carlos Santos,4.5,6.57,27,5.37,True
Gabriel Ribeiro,1,Pedro II,1.66,6.59,27,2.0,True
Gael Ribeiro,2,Pedro I,5.05,0.37,12,5.62,False
Theo Alves,3,Antonio Prado,6.03,4.53,27,5.78,True
Theo Soares,3,Carlos Santos,7.17,1.51,26,9.32,False
Gael Alves,1,Gabriel Gomes,0.93,1.1,25,9.63,False
Davi Pereira,3,Antonio Prado,1.69,6.63,10,6.26,True
Alice Soares,2,Pedro I,6.34,1.64,2,1.56,True
Samuel Alves,2,Pedro I,6.17,6.01,18,5.14,True
Gabriel Santos,3,Carlos Santos,9.44,7.45,17,0,False
Bernardo Maia,1,Gabriel Gomes,7.52,6.14,16,4.2,False
Davi Rodrigues,3,Gabriel Gomes,1.18,8.24,14,4.13,True
Valentina Alves,2,Carlos Santos,9.57,6.88,25,0,True
Heitor Soares,3,Francisto Chagas,8.18,6.37,29,0,True
Heloisa Souza,1,Gabriel Gomes,8.12,3.57,24,9.52,True
Valentina Alves,1,Antonio Prado,6.86,4.88,1,4.3,True
Samuel Santos,3,Pedro II,0.12,7.25,13,9.61,False
Miguel Ribeiro,1,Gabriel Gomes,9.37,0.79,15,8.18,False
Davi Alves,3,Antonio Prado,6.88,2.53,5,2.09,True
Heitor Ribeiro,1,Carlos Santos,2.58,0.41,21,5.64,False
Miguel Ribeiro,2,Pedro I,4.25,1.91,16,4.03,False
Miguel Rodrigues,2,Pedro I,2.33,1.99,20,5.98,True
Gael Alves,3,Pedro II,7.05,7.98,12,0,True
Maria Silva,1,Pedro I,2.53,4.69,21,8.82,False
Sophia Maia,1,Francisto Chagas,5.59,1.24,28,6.29,False
Laura Oliveira,3,Pedro I,6.38,3.77,0,6.19,False
Samuel Rodrigues,3,Gabriel Gomes,2.35,9.94,16,5.35,True
Miguel Alves,3,Pedro I,4.14,7.97,25,9.89,False
Sophia Pereira,2,Pedro II,6.04,3.37,29,5.45,True
Maria Santos,3,Gabriel Gomes,2.23,7.15,15,5.29,False
Samuel Pereira,1,Francisto Chagas,8.87,8.97,14,0,True
Theo Ferreira,1,Pedro I,7.07,1.35,17,9.39,True
Davi Rodrigues,2,Antonio Prado,1.34,6.2,23,7.61,True
Davi Martins,2,Francisto Chagas,5.24,6.97,2,7.19,True
Heitor Soares,3,Carlos Santos,5.27,0.09,0,6.14,True
Alice Ribeiro,1,Pedro I,6.39,7.93,23,0,True
Arthur Ribeiro,2,Pedro I,0.57,6.58,8,0.73,False
Laura Maia,3,Antonio Prado,1.23,9.67,5,4.15,False
Laura Silva,1,Carlos Santos,7.85,5.42,13,9.53,True
Heloisa Ribeiro,1,Antonio Prado,3.32,4.65,19,7.67,False
Samuel Ribeiro,1,Gabriel Gomes,3.73,3.99,8,3.77,True
Laura Maia,2,Carlos Santos,7.71,0.89,19,2.14,True
Gabriel Martins,3,Antonio Prado,5.8,3.71,16,8.05,False
Heloisa Pereira,2,Francisto Chagas,5.09,5.56,27,4.67,True
Maria Souza,1,Pedro II,9.64,7.43,11,0,False
Gabriel Rodrigues,1,Antonio Prado,7.21,4.39,8,4.29,True
Heitor Ferreira,2,Gabriel Gomes,8.56,7.16,24,0,False
Valentina Ribeiro,2,Pedro II,4.06,8.48,22,8.73,True
Davi Soares,2,Carlos Santos,2.89,6.24,11,1.25,False
Valentina Gomes,3,Gabriel Gomes,7.67,3.95,25,0.83,False
Sophia Alves,1,Carlos Santos,2.15,5.33,14,9.97,False
Theo Pereira,3,Pedro II,2.01,7.91,22,5.88,False
Alice Soares,3,Francisto Chagas,9.88,1.64,23,0.58,True
Sophia Gomes,1,Pedro I,7.88,5.68,9,9.04,False
Theo Oliveira,3,Carlos Santos,8.88,4.37,26,2.58,False
Valentina Martins,1,Pedro II,4.32,2.32,18,4.39,True
Gael Pereira,1,Francisto Chagas,3.05,8.39,9,5.04,True
Laura Alves,2,Francisto Chagas,7.39,0.63,5,2.63,True
Maria Alves,2,Francisto Chagas,8.98,6.45,0,0,False
Miguel Ribeiro,1,Pedro II,3.91,4.84,25,8.06,False
Theo Souza,1,Pedro II,1.72,6.86,9,8.52,False
Bernardo Pereira,3,Gabriel Gomes,0.69,4.43,24,9.52,False
Gael Martins,3,Antonio Prado,0.19,2.99,12,5.18,True
Gael Rodrigues,2,Pedro I,8.97,5.55,26,0,True
Maria Oliveira,1,Francisto Chagas,7.58,9.1,20,0,True
Maria Ferreira,1,Gabriel Gomes,7.88,9.11,5,0,False
Gabriel Silva,1,Francisto Chagas,6.19,8.56,23,0,False
Davi Pereira,3,Pedro I,3.61,1.61,15,7.64,False
Davi Rodrigues,3,Pedro I,1.93,8.94,26,7.56,True
Bernardo Ferreira,1,Gabriel Gomes,8.82,7.31,24,0,True
Helena Oliveira,2,Pedro II,6.31,5.13,28,5.39,True
Heloisa Gomes,3,Antonio Prado,5.38,8.86,6,0,False
Theo Ferreira,3,Antonio Prado,0.01,7.65,23,3.07,False
Valentina Maia,1,Gabriel Gomes,4.02,0.33,25,5.06,False
Arthur Oliveira,1,Antonio Prado,9.78,5.76,3,0,False
Bernardo Pereira,1,Francisto Chagas,5.52,4.63,25,7.26,True
Bernardo Soares,1,Pedro I,8.03,0.66,17,8.4,False
Davi Ribeiro,2,Gabriel Gomes,1.85,5.89,23,9.55,True
Miguel Gomes,3,Carlos Santos,9.38,9.8,21,0,False
Valentina Souza,1,Carlos Santos,0.66,4.23,2,4.43,True
Heloisa Santos,2,Carlos Santos,5.12,4.61,26,1.16,True
Valentina Alves,1,Gabriel Gomes,0.69,4.11,6,8.37,True
Valentina Maia,1,Antonio Prado,4.46,8.27,16,9.09,False
Gabriel Soares,2,Pedro II,0.53,5.68,21,3.86,True
Sophia Souza,2,Francisto Chagas,3.53,2.08,24,2.37,True
Samuel Pereira,3,Gabriel Gomes,4.3,0.04,20,6.77,False
Sophia Oliveira,1,Carlos Santos,3.46,3.23,25,4.02,False
Gabriel Silva,3,Carlos Santos,2.17,5.29,22,2.91,False
Laura Maia,2,Francisto Chagas,2.57,1.65,1,6.45,True
Miguel Ferreira,3,Pedro II,5.46,9.62,1,0,True
Gabriel Oliveira,3,Antonio Prado,6.36,2.98,9,9.23,True
Helena Alves,1,Gabriel Gomes,3.91,1.38,12,6.57,True
Laura Souza,1,Francisto Chagas,8.76,5.88,9,0,True
Gabriel Souza,1,Francisto Chagas,5.19,9.87,30,0,True
Sophia Alves,3,Pedro II,0.22,1.36,21,1.24,False
Valentina Martins,3,Pedro I,9.22,7.03,20,0,True
Miguel Gomes,1,Antonio Prado,1.72,7.41,24,3.11,True
Valentina Maia,2,Carlos Santos,9.96,8.37,29,0,False
Theo Alves,3,Antonio Prado,2.93,3.72,20,8.99,True
Davi Oliveira,1,Pedro II,0.79,1.87,4,3.2,True
Arthur Pereira,1,Pedro II,2.24,5.7,23,7.03,False
Valentina Oliveira,1,Antonio Prado,8.92,9.22,8,0,True
Heitor Silva,1,Carlos Santos,7.19,6.33,3,7.7,True
Bernardo Maia,3,Pedro I,2.25,5.14,28,3.71,True
Sophia Alves,2,Antonio Prado,0.09,4.86,27,1.8,True
Gael Santos,1,Gabriel Gomes,6.8,9.07,4,0,True
Valentina Gomes,1,Antonio Prado,8.11,2.99,12,2.12,False
Maria Alves,2,Antonio Prado,8.62,8.88,26,0,True
Valentina Alves,1,Gabriel Gomes,2.67,6.48,4,0.7,False
Arthur Santos,3,Francisto Chagas,0.52,3.77,7,7.57,False
Arthur Gomes,1,Carlos Santos,9.82,4.93,24,0,False
Laura Rodrigues,3,Carlos Santos,5.78,1.71,1,9.75,False
Maria Gomes,1,Gabriel Gomes,8.96,8.51,15,0,True
Heloisa Silva,3,Pedro II,9.9,9.81,1,0,True
Arthur Alves,2,Francisto Chagas,9.06,7.01,24,0,True
Valentina Soares,2,Francisto Chagas,0.43,9.53,15,7.61,False
Maria Gomes,2,Carlos Santos,1.08,8.75,8,4.06,True
Maria Alves,3,Pedro I,5.8,7.49,6,5.08,True
Alice Silva,1,Gabriel Gomes,1.88,7.08,23,3.43,False
Sophia Pereira,1,Pedro II,2.4,3.86,8,2.75,True
Alice Rodrigues,1,Antonio Prado,3.6,1.39,24,3.83,False
Arthur Alves,2,Antonio Prado,6.63,2.1,19,0.59,True
Heitor Silva,3,Antonio Prado,1.8,6.34,5,8.55,True
Sophia Ribeiro,3,Carlos Santos,7.31,6.21,27,8.48,False
Helena Silva,1,Francisto Chagas,6.13,8.65,3,0,False
Theo Alves,1,Antonio Prado,7.82,10.0,5,0,False
Alice Santos,2,Pedro I,9.6,8.59,8,0,False
Maria Ribeiro,3,Antonio Prado,6.46,5.29,15,3.45,False
Valentina Silva,2,Pedro II,0.63,7.85,16,4.93,True
Sophia Alves,1,Carlos Santos,9.7,5.66,21,0,True
Valentina Santos,1,Carlos Santos,9.18,5.36,0,0,True
Heloisa Alves,3,Francisto Chagas,7.07,5.13,16,1.66,True
Theo Santos,3,Carlos Santos,3.04,2.01,4,5.16,True
Bernardo Ribeiro,3,Carlos Santos,8.49,3.95,15,8.59,True
Sophia Martins,1,Pedro II,3.13,1.94,8,4.36,False
Laura Oliveira,1,Pedro II,0.37,2.72,29,9.12,False
Heitor Maia,1,Gabriel Gomes,6.16,6.12,27,3.38,True
Valentina Alves,2,Gabriel Gomes,8.31,6.56,28,0,True
Valentina Oliveira,3,Antonio Prado,7.25,0.33,12,4.5,False
Laura Oliveira,1,Pedro II,6.27,2.25,11,9.95,True
Miguel Alves,3,Pedro I,3.36,2.85,18,2.07,False
Arthur Oliveira,2,Francisto Chagas,7.74,7.87,1,0,True
Maria Souza,1,Pedro II,5.28,7.49,27,3.7,False
Theo Soares,1,Carlos Santos,6.77,8.57,25,0,True
Miguel Alves,2,Pedro II,8.07,4.6,19,2.48,True
Bernardo Martins,2,Pedro II,3.04,6.7,24,4.45,False
Miguel Ribeiro,2,Gabriel Gomes,6.9,2.69,1,2.56,True
Heitor Pereira,3,Pedro II,0.34,5.98,26,8.41,True
Alice Rodrigues,1,Pedro I,5.26,5.88,7,0.03,False
Alice Rodrigues,3,Pedro II,2.38,2.14,11,9.51,False
Valentina Ribeiro,3,Gabriel Gomes,7.26,4.66,16,9.16,True
Maria Ferreira,2,Pedro I,8.94,3.49,18,9.02,False
Miguel Gomes,2,Pedro II,4.67,2.16,29,2.0,True
Samuel Pereira,1,Gabriel Gomes,5.45,4.64,29,9.13,True
Heitor Martins,1,Pedro I,8.41,8.06,0,0,True
Bernardo Alves,2,Pedro I,6.09,9.95,26,0,True
Samuel Souza,2,Carlos Santos,3.72,0.21,16,5.97,True
Alice Maia,1,Antonio Prado,5.91,5.25,19,0.74,False
Samuel Alves,2,Antonio Prado,5.31,0.58,28,8.01,True
Miguel Souza,2,Carlos Santos,4.06,5.29,7,4.32,True
Sophia Silva,3,Gabriel Gomes,7.26,2.08,20,4.48,False
Heloisa Oliveira,1,Carlos Santos,4.11,6.82,7,8.66,True
Sophia Santos,3,Carlos Santos,8.35,7.95,26,0,True
Miguel Maia,2,Carlos Santos,5.08,4.77,21,1.99,True
Valentina Ribeiro,3,Antonio Prado,7.97,0.42,30,8.98,True
Valentina Maia,3,Pedro I,7.78,4.55,12,2.24,False
Bernardo Maia,2,Francisto Chagas,9.55,8.41,5,0,False
Davi Maia,1,Antonio Prado,3.54,7.01,25,8.14,False
Heitor Silva,1,Pedro I,8.38,4.0,22,1.32,True
Theo Souza,1,Pedro I,5.21,1.44,4,3.74,False
Theo Alves,3,Gabriel Gomes,0.3,6.36,7,2.02,True
Laura Ferreira,3,Gabriel Gomes,7.15,7.81,22,0,True
Sophia Pereira,3,Gabriel Gomes,1.0,1.93,15,3.61,False
Heitor Soares,3,Pedro I,3.23,0.66,16,3.24,True
Gael Oliveira,1,Carlos Santos,9.88,2.25,4,6.66,True
Gael Soares,2,Pedro I,2.3,4.95,14,7.49,False
Laura Silva,1,Carlos Santos,3.34,9.67,7,1.07,True
Gael Souza,2,Pedro II,8.91,8.7,3,0,False
Alice Rodrigues,3,Francisto Chagas,9.92,6.05,22,0,False
Theo Alves,1,Pedro II,0.65,0.89,24,6.51,True
Gael Ferreira,2,Pedro I,2.55,5.34,27,9.94,True
Theo Alves,3,Antonio Prado,0.51,3.14,27,3.62,True
Alice Alves,2,Antonio Prado,3.86,7.41,25,5.18,True
Miguel Santos,2,Francisto Chagas,7.83,6.59,4,0,False
Valentina Santos,2,Antonio Prado,4.37,3.35,2,8.48,False
Arthur Martins,1,Carlos Santos,4.15,2.23,28,0.07,False
Maria Silva,3,Gabriel Gomes,0.28,0.78,7,9.36,True
Maria Alves,2,Pedro I,2.9,5.73,6,0.82,True
Davi Maia,2,Francisto Chagas,1.77,0.88,18,3.98,False
Laura Santos,2,Gabriel Gomes,4.68,4.05,11,8.79,False
Bernardo Alves,3,Pedro I,4.99,2.07,17,8.96,True
Gabriel Santos,1,Gabriel Gomes,1.6,8.83,4,3.92,False
Laura Alves,2,Carlos Santos,8.3,3.34,18,4.1,True
Miguel Soares,1,Pedro I,4.24,2.43,25,4.57,False
Gael Santos,2,Carlos Santos,4.79,6.15,30,5.32,False
Theo Alves,3,Pedro I,4.08,2.46,8,3.96,True
Gabriel Silva,3,Antonio Prado,3.9,1.51,25,3.47,False
Heloisa Martins,2,Antonio Prado,7.22,4.31,3,9.89,True
Alice Silva,3,Antonio Prado,8.73,6.54,30,0,True
Maria Ferreira,3,Antonio Prado,6.06,3.32,17,9.73,True
Arthur Oliveira,2,Francisto Chagas,2.51,4.54,10,1.62,True
Gabriel Martins,3,Carlos Santos,8.14,0.62,29,8.63,False
Alice Santos,3,Antonio Prado,6.78,2.3,24,2.54,False
Arthur Alves,1,Antonio Prado,6.52,7.32,15,1.71,False
Gabriel Pereira,2,Antonio Prado,4.49,2.86,29,9.86,False
Gael Alves,3,Antonio Prado,7.68,5.68,18,2.89,False
Helena Silva,3,Gabriel Gomes,3.27,5.03,0,1.66,True
Davi Soares,3,Pedro II,1.53,1.15,16,8.9,True
Gael Souza,2,Francisto Chagas,0.08,7.34,19,5.67,True
Alice Silva,3,Gabriel Gomes,8.77,3.07,12,5.35,False
Sophia Gomes,1,Francisto Chagas,1.05,4.95,22,5.87,True
Heitor Silva,3,Carlos Santos,0.81,5.47,3,4.58,True
Gabriel Pereira,1,Antonio Prado,0.27,6.58,10,9.39,True
Theo Rodrigues,1,Antonio Prado,6.93,7.23,20,0,False
Maria Martins,2,Pedro I,6.67,7.58,4,0,True
Davi Oliveira,3,Gabriel Gomes,4.7,5.56,16,8.57,True
Heloisa Ferreira,1,Carlos Santos,2.99,4.41,25,5.54,False
Davi Alves,3,Antonio Prado,5.61,8.66,6,0,True
Heitor Santos,1,Francisto Chagas,7.09,0.15,10,3.97,False
Arthur Ribeiro,1,Pedro II,7.04,4.57,1,4.04,True
Valentina Soares,2,Francisto Chagas,9.66,0.57,17,3.76,False
Gael Ferreira,2,Antonio Prado,7.33,4.17,5,3.53,False
Gael Maia,3,Francisto Chagas,2.58,0.4,7,4.32,True
Heloisa Maia,2,Pedro II,0.15,5.79,18,6.86,True
Valentina Alves,1,Carlos Santos,6.54,6.3,16,2.42,True
Sophia Souza,2,Pedro II,1.33,4.89,9,1.55,False
Arthur Oliveira,3,Pedro II,8.06,7.34,6,0,False
Gabriel Gomes,2,Gabriel Gomes,8.77,4.89,24,2.24,False
Samuel Silva,3,Pedro II,7.83,7.19,24,0,True
Heloisa Pereira,3,Francisto Chagas,9.33,6.53,1,0,False
Miguel Gomes,1,Gabriel Gomes,3.83,1.71,13,2.33,False
Miguel Oliveira,2,Francisto Chagas,6.52,6.48,5,8.49,True
Valentina Souza,1,Pedro I,5.94,7.77,28,7.71,False
Sophia Martins,1,Antonio Prado,2.07,0.71,24,3.16,False
Valentina Ribeiro,1,Pedro I,6.68,8.66,27,0,False
Sophia Soares,1,Francisto Chagas,3.71,8.94,1,6.64,False
Heloisa Ferreira,3,Francisto Chagas,2.24,8.71,28,4.37,True
Heitor Silva,1,Pedro II,3.2,2.04,24,8.98,False
Maria Ferreira,3,Carlos Santos,7.47,3.34,27,5.75,False
Maria Soares,2,Pedro II,1.72,2.25,26,1.69,True
Bernardo Maia,3,Antonio Prado,6.81,0.26,29,0.45,False
Heloisa Oliveira,1,Pedro II,9.01,9.39,27,0,True
Arthur Pereira,3,Francisto Chagas,6.41,2.5,29,7.78,True
Sophia Rodrigues,2,Antonio Prado,2.76,9.98,6,5.55,True
Laura Ferreira,2,Pedro I,8.57,4.98,25,1.81,True
Samuel Alves,2,Francisto Chagas,7.38,2.59,15,2.01,True
Heloisa Alves,2,Carlos Santos,9.65,2.51,3,9.41,True
Theo Soares,1,Pedro I,6.94,2.29,14,6.62,False
Heitor Alves,1,Pedro I,1.45,5.44,19,2.78,False
Gael Santos,1,Pedro I,7.17,7.8,0,0,False
Alice Soares,3,Pedro II,2.75,6.81,1,1.78,False
Gael Silva,2,Carlos Santos,6.51,2.69,18,8.29,False
Sophia Ribeiro,1,Gabriel Gomes,3.71,3.34,15,8.91,False
Samuel Soares,1,Antonio Prado,9.81,3.19,2,1.2,True
Heloisa Maia,1,Gabriel Gomes,0.81,8.37,20,5.9,False
Maria Alves,2,Pedro II,5.6,5.0,26,0.13,False
Heitor Maia,1,Pedro II,7.58,6.06,18,9.61,False
Gabriel Santos,3,Pedro II,7.1,2.6,23,3.95,False
Theo Martins,3,Antonio Prado,2.74,8.22,24,4.77,True
Alice Gomes,1,Gabriel Gomes,2.86,9.83,25,7.3,True
Laura Rodrigues,2,Pedro I,6.1,4.59,13,4.67,True
Maria Pereira,1,Francisto Chagas,5.46,0.18,25,6.34,True
Samuel Souza,1,Pedro II,2.47,5.4,30,0.44,True
Heloisa Oliveira,2,Antonio Prado,4.01,3.75,20,5.99,True
Valentina Souza,3,Carlos Santos,4.31,5.41,3,8.56,False
Heloisa Martins,2,Pedro I,1.01,1.91,13,7.36,True
Arthur Alves,2,Antonio Prado,7.61,3.19,6,2.53,True
